customerid,country,distinctorders,revenue
12748,United Kingdom,209,33719.73
14911,EIRE,201,143825.06
17841,United Kingdom,124,40991.57
13089,United Kingdom,97,58825.83
14606,United Kingdom,93,12156.65
15311,United Kingdom,91,60767.9
12971,United Kingdom,86,11189.91
14646,Netherlands,73,280206.02
16029,United Kingdom,63,81024.84
13408,United Kingdom,62,28117.04
18102,United Kingdom,60,259657.3
13798,United Kingdom,57,37153.85
14527,United Kingdom,55,8508.82
14156,EIRE,55,117379.63
16422,United Kingdom,51,34684.4
13694,United Kingdom,50,65039.62
15061,United Kingdom,48,54534.14
15039,United Kingdom,47,19914.44
16013,United Kingdom,47,37130.6
17450,United Kingdom,46,194550.79
17949,United Kingdom,45,58510.48
14298,United Kingdom,44,51527.3
15189,United Kingdom,41,16225.39
17961,United Kingdom,39,1296.44
17811,United Kingdom,39,7837.73
17315,United Kingdom,38,6292.26
13199,United Kingdom,38,9817.12
13468,United Kingdom,37,5704.97
12921,United Kingdom,37,16587.09
13767,United Kingdom,37,17220.36
13263,United Kingdom,35,7454.07
16839,United Kingdom,34,16594.35
17389,United Kingdom,34,31833.68
17850,United Kingdom,34,5391.21
16133,United Kingdom,33,14589.04
13777,United Kingdom,33,25977.16
12569,Germany,32,4124.69
15078,United Kingdom,32,9743.11
14735,United Kingdom,32,6065.69
12682,France,31,12288.22
17511,United Kingdom,31,91062.38
17675,United Kingdom,31,20374.28
17677,United Kingdom,30,16363.23
17757,United Kingdom,30,5605.29
12471,Germany,30,19824.05
15159,United Kingdom,30,18641.01
17381,United Kingdom,29,20275.61
17428,United Kingdom,28,17256.85
15005,United Kingdom,28,6316.57
16684,United Kingdom,28,66653.56
12901,United Kingdom,28,17654.54
13098,United Kingdom,28,28882.44
13018,United Kingdom,28,7277.7
16168,United Kingdom,27,3787.6
15498,United Kingdom,27,13316.4
15856,United Kingdom,27,16387.57
15769,United Kingdom,26,56252.72
16525,United Kingdom,26,13027.45
13078,United Kingdom,26,12627.94
13319,United Kingdom,26,10845.55
17243,United Kingdom,26,8676.85
18109,United Kingdom,26,8052.97
18118,United Kingdom,26,5653.82
17581,United Kingdom,25,11045.04
12841,United Kingdom,25,4022.35
12720,Germany,25,5781.73
13534,United Kingdom,25,5870.08
13854,United Kingdom,25,8109.52
14180,United Kingdom,25,4748.52
14667,United Kingdom,25,9241.2
14849,United Kingdom,25,7930.54
13069,United Kingdom,24,4436.12
13102,United Kingdom,24,6424.09
13113,United Kingdom,24,12245.96
14051,United Kingdom,23,15610.39
14056,United Kingdom,23,8214.65
15615,United Kingdom,23,10399.74
16353,United Kingdom,23,6675.71
17857,United Kingdom,23,26879.04
16333,United Kingdom,22,26626.8
16779,United Kingdom,22,10629.72
15358,United Kingdom,22,8347.2
14560,United Kingdom,22,2237.77
12681,France,22,13787.54
12415,Australia,21,124914.53
14688,United Kingdom,21,5630.87
14194,United Kingdom,21,11349.52
13599,United Kingdom,21,5153.67
13668,United Kingdom,21,6363.59
16814,United Kingdom,21,6509.1
16729,United Kingdom,21,7239.92
16931,United Kingdom,21,4604.22
17068,United Kingdom,21,4552.14
16523,United Kingdom,21,9418.47
18041,United Kingdom,21,4183.39
17865,United Kingdom,20,10526.32
18172,United Kingdom,20,7561.68
18229,United Kingdom,20,7276.9
17377,United Kingdom,20,4100.92
16558,United Kingdom,20,8338.49
16033,United Kingdom,20,8816.4
17017,United Kingdom,20,8694.26
16705,United Kingdom,20,14034.99
16672,United Kingdom,20,8134.94
14895,United Kingdom,20,11138.71
13881,United Kingdom,20,17159.52
12621,Germany,20,13689.67
13267,United Kingdom,19,4521.49
14060,United Kingdom,19,6140.42
14031,United Kingdom,19,17286.86
14397,United Kingdom,19,2612.96
15513,United Kingdom,19,14758.22
15838,United Kingdom,19,33643.08
16923,United Kingdom,19,7247.61
16945,United Kingdom,19,4345.5
16161,United Kingdom,19,5575.56
17306,United Kingdom,19,8631.31
17576,United Kingdom,19,3622.68
17735,United Kingdom,19,13110.02
16210,United Kingdom,18,21086.3
16458,United Kingdom,18,3482.74
16746,United Kingdom,18,6697.66
15465,United Kingdom,18,7354.62
15290,United Kingdom,18,7943.22
14562,United Kingdom,18,5074.77
14534,United Kingdom,18,4447.05
13969,United Kingdom,18,9053.94
14085,United Kingdom,18,4448.54
13576,United Kingdom,18,6717.34
13418,United Kingdom,18,6127.43
13004,United Kingdom,18,5655.91
12437,France,18,4951.41
12474,Germany,18,7375.79
12540,Spain,17,13400.24
13050,United Kingdom,17,5836.86
14096,United Kingdom,17,65164.79
14057,United Kingdom,17,6217.96
14702,United Kingdom,17,3292.14
14217,United Kingdom,17,2004.98
15144,United Kingdom,17,6580.44
15044,United Kingdom,17,7700.23
14796,United Kingdom,17,8022.49
15805,United Kingdom,17,5528.48
16745,United Kingdom,17,7194.3
16928,United Kingdom,17,2847.6
16626,United Kingdom,17,4413.1
17706,United Kingdom,17,10504.49
17238,United Kingdom,17,3744.65
18198,United Kingdom,17,5425.56
18241,United Kingdom,17,2073.09
17920,United Kingdom,17,4204.1
18283,United Kingdom,16,2094.88
16592,United Kingdom,16,4113.68
16011,United Kingdom,16,3362.71
16843,United Kingdom,16,10196.57
16904,United Kingdom,16,3754.27
15738,United Kingdom,16,4812.42
15555,United Kingdom,16,4805.17
15187,United Kingdom,16,4777.18
14367,United Kingdom,16,9261.52
14680,United Kingdom,16,28754.11
14543,United Kingdom,16,3630.33
14282,United Kingdom,15,3729.34
14189,United Kingdom,15,4654.08
14135,United Kingdom,15,4690.31
13985,United Kingdom,15,7060.13
13695,United Kingdom,15,2504.13
12931,United Kingdom,15,42055.96
12989,United Kingdom,15,6924.11
13269,United Kingdom,15,5346.23
17404,Sweden,15,31906.82
12709,Germany,15,9736.52
12683,France,15,8476.57
12583,France,15,7281.38
15291,United Kingdom,15,4668.3
15271,United Kingdom,15,2507.07
15046,United Kingdom,15,5213.77
15194,United Kingdom,15,7616.53
15125,United Kingdom,15,11528.48
15640,United Kingdom,15,12515.66
15867,United Kingdom,15,3812.64
15939,United Kingdom,15,6115.01
16713,United Kingdom,15,6923.13
16656,United Kingdom,15,8625.8
16187,United Kingdom,15,6911.44
17346,United Kingdom,15,2676.56
17719,United Kingdom,15,5396.04
17690,United Kingdom,15,4757.95
17611,United Kingdom,15,3984.22
17613,United Kingdom,14,4559.15
17790,United Kingdom,14,1965.55
18223,United Kingdom,14,6484.54
17965,United Kingdom,14,2622.57
18065,United Kingdom,14,2392.83
16607,United Kingdom,14,3347.71
16326,United Kingdom,14,3110.96
17220,United Kingdom,14,3198.25
15955,United Kingdom,14,4416.26
15694,United Kingdom,14,6479.4
15827,United Kingdom,14,1836.09
15547,United Kingdom,14,4954.84
15601,United Kingdom,14,6776.56
12839,United Kingdom,14,5591.42
13230,United Kingdom,14,2806.97
13458,United Kingdom,14,9646.57
13090,United Kingdom,14,8910.82
13756,United Kingdom,14,5189.52
14092,United Kingdom,14,4076.91
14607,United Kingdom,14,16569.5
14191,United Kingdom,13,4684.76
14401,United Kingdom,13,4051.48
14415,United Kingdom,13,5900.28
13709,United Kingdom,13,6328.05
13488,United Kingdom,13,8968.31
14088,United Kingdom,13,50491.81
13871,United Kingdom,13,6403.25
13880,United Kingdom,13,3219.77
13001,United Kingdom,13,9818.82
13013,United Kingdom,13,4810.94
12757,Portugal,13,7857.1
12712,Germany,13,4396.13
12431,Australia,13,5514.67
15611,United Kingdom,13,1591.45
15581,United Kingdom,13,3679.97
15804,United Kingdom,13,4206.39
15719,United Kingdom,13,5045.61
15152,United Kingdom,13,4745.69
15249,United Kingdom,13,6688.46
14709,United Kingdom,13,4921.04
16722,United Kingdom,13,4730.81
16700,United Kingdom,13,5076.55
16701,United Kingdom,13,5398.3
16764,United Kingdom,13,2799.25
16782,United Kingdom,13,2279.9
16393,United Kingdom,13,3046.21
16191,United Kingdom,13,5180.52
16241,United Kingdom,13,2607.87
17975,United Kingdom,13,4488.81
17730,United Kingdom,13,5298.48
17402,United Kingdom,13,2633.85
17419,United Kingdom,12,4226.57
17652,United Kingdom,12,4867.72
17659,United Kingdom,12,2999.46
17954,United Kingdom,12,2332.72
17809,United Kingdom,12,5411.91
17870,United Kingdom,12,1894.35
17858,United Kingdom,12,5155.66
18073,United Kingdom,12,3877.52
18144,United Kingdom,12,2888.75
18225,United Kingdom,12,5509.12
16186,United Kingdom,12,4006.94
16401,United Kingdom,12,4098.32
16553,United Kingdom,12,5719.82
16678,United Kingdom,12,3109.99
17139,United Kingdom,12,10668.47
14733,United Kingdom,12,9585.91
14800,United Kingdom,12,4339.74
14825,United Kingdom,12,2226.91
14866,United Kingdom,12,14389.9
14944,United Kingdom,12,5900.25
15235,United Kingdom,12,2247.51
15298,United Kingdom,12,4799.9
15301,United Kingdom,12,5070.35
15971,United Kingdom,12,4199.85
15854,United Kingdom,12,2974.65
15570,United Kingdom,12,4165.52
15482,United Kingdom,12,11054.96
15502,United Kingdom,12,10384.93
15373,United Kingdom,12,2415.91
12395,Belgium,12,3018.63
12678,France,12,17628.46
12731,France,12,18895.91
12647,Germany,12,3722.82
13094,United Kingdom,12,1927.32
12877,United Kingdom,12,1535.77
13266,United Kingdom,12,3834.26
13148,United Kingdom,12,3707.12
14110,United Kingdom,12,5683.15
14040,United Kingdom,12,3614.92
14062,United Kingdom,12,10464.85
13999,United Kingdom,12,3901.81
13983,United Kingdom,12,2603.43
13552,United Kingdom,12,3740.07
13571,United Kingdom,12,2092.32
13742,United Kingdom,12,3131.02
13784,United Kingdom,11,2462.79
13629,United Kingdom,11,7792.36
13631,United Kingdom,11,3070.42
14032,United Kingdom,11,2975.59
14099,United Kingdom,11,3104.17
14291,United Kingdom,11,3883.25
14132,United Kingdom,11,3586.03
14159,United Kingdom,11,4693.01
14239,United Kingdom,11,2380.85
14462,United Kingdom,11,2004.02
14502,United Kingdom,11,2470.67
13178,United Kingdom,11,5725.47
13268,United Kingdom,11,3214.69
12955,United Kingdom,11,4757.16
13081,United Kingdom,11,28337.38
12662,Germany,11,3849.78
12747,United Kingdom,11,4196.01
12476,Germany,11,6816.42
12500,Germany,11,4257.82
12523,France,11,1789.77
15514,United Kingdom,11,4139.46
15529,United Kingdom,11,3995.23
15251,United Kingdom,11,10484.99
15218,United Kingdom,11,5756.89
15129,United Kingdom,11,3447.4
15058,United Kingdom,11,2124.99
14952,United Kingdom,11,8099.49
15023,United Kingdom,11,6802.76
14810,United Kingdom,11,2087.88
14776,United Kingdom,11,2538.3
14711,United Kingdom,11,2868.8
14713,United Kingdom,11,2666.36
14755,United Kingdom,11,5010.28
16919,United Kingdom,11,2596.45
17001,United Kingdom,11,3989.57
17061,United Kingdom,11,5232.23
16670,United Kingdom,11,4095.9
16767,United Kingdom,11,5580.6
16712,United Kingdom,11,3645.43
16775,United Kingdom,11,1695.66
16818,United Kingdom,11,3349.57
16837,United Kingdom,11,3170.98
16912,United Kingdom,11,2575.38
16145,United Kingdom,11,3799.49
18226,United Kingdom,11,5228.05
18077,United Kingdom,11,2633.01
18092,United Kingdom,11,9068.26
17644,United Kingdom,11,2895.64
17725,United Kingdom,11,3439.08
17716,United Kingdom,11,5655.99
17340,United Kingdom,11,12353.29
17364,United Kingdom,11,4481.18
17231,United Kingdom,10,3174.32
17512,United Kingdom,10,2924.99
17491,United Kingdom,10,3558.87
17651,United Kingdom,10,3945
17799,United Kingdom,10,3055.93
17769,United Kingdom,10,3997.98
17530,United Kingdom,10,2385
18075,United Kingdom,10,2611.75
18055,United Kingdom,10,6784.19
18061,United Kingdom,10,2119.41
18044,United Kingdom,10,2088.6
17940,United Kingdom,10,4106.44
18219,United Kingdom,10,2069.77
16076,United Kingdom,10,2234.73
16293,United Kingdom,10,2248.99
16549,United Kingdom,10,4154.64
16570,United Kingdom,10,3738.4
16407,United Kingdom,10,2126.93
16426,United Kingdom,10,1908.25
16813,United Kingdom,10,1692.98
16794,United Kingdom,10,1222.71
16710,United Kingdom,10,2483.04
16638,United Kingdom,10,1680.72
16985,United Kingdom,10,5464.12
17218,United Kingdom,10,1960.72
17162,United Kingdom,10,1715.46
15024,United Kingdom,10,1661.33
15033,United Kingdom,10,2586.67
15114,United Kingdom,10,2760.56
15150,United Kingdom,10,5314.47
15356,United Kingdom,10,2766.5
15984,United Kingdom,10,2837.67
12490,France,10,5417.93
12362,Belgium,10,5226.23
12481,Germany,10,5596.32
12553,France,10,3692.28
12567,France,10,9401.28
12708,Germany,10,2712.91
12600,Germany,10,2599.04
12594,Italy,10,3338.22
13097,United Kingdom,10,6010.42
13014,United Kingdom,10,3466.28
13047,United Kingdom,10,3237.54
13184,United Kingdom,10,1701.29
13426,United Kingdom,10,3641.32
13324,United Kingdom,10,7121.95
13305,United Kingdom,10,2000.86
14243,United Kingdom,10,2588.77
14227,United Kingdom,10,3350.96
14426,United Kingdom,10,4481.67
13890,United Kingdom,10,1883.81
13491,United Kingdom,10,1215.82
13769,United Kingdom,10,2796.51
13700,United Kingdom,10,2265.12
13704,United Kingdom,9,2308.06
13755,United Kingdom,9,2161.35
13588,United Kingdom,9,2478.95
13911,United Kingdom,9,2580.91
13842,United Kingdom,9,3385.62
14083,United Kingdom,9,1018.43
13993,United Kingdom,9,3466.36
14410,United Kingdom,9,1105.07
14390,United Kingdom,9,4652.82
14395,United Kingdom,9,3507.71
14292,United Kingdom,9,4871.93
14299,United Kingdom,9,3965.62
14309,United Kingdom,9,2352.53
14221,United Kingdom,9,3432.8
14211,United Kingdom,9,2241.1
14258,United Kingdom,9,12669.98
14456,United Kingdom,9,3062.4
14524,United Kingdom,9,1867.68
14525,United Kingdom,9,4332.2
14573,United Kingdom,9,1653.42
14587,United Kingdom,9,1601.14
14704,United Kingdom,9,1546.91
14659,United Kingdom,9,2529.93
13183,United Kingdom,9,3957.78
13021,United Kingdom,9,2616.38
13082,United Kingdom,9,3613.63
12980,United Kingdom,9,7374.9
12584,Italy,9,2338.15
12626,Germany,9,6620.48
12619,Germany,9,3641.24
12705,Germany,9,6868.29
12664,Finland,9,4881.88
12428,Finland,9,7956.46
15544,United Kingdom,9,3546.71
15602,United Kingdom,9,1297.87
15606,United Kingdom,9,2920.16
15622,United Kingdom,9,3709.56
15628,United Kingdom,9,2870.24
15660,United Kingdom,9,1600.86
15687,United Kingdom,9,2993.1
15281,United Kingdom,9,2332.15
15059,United Kingdom,9,1337.72
15021,United Kingdom,9,1914.82
14961,United Kingdom,9,7044.68
14878,United Kingdom,9,1485.54
14901,United Kingdom,9,1421.29
14701,United Kingdom,9,2549.37
17069,United Kingdom,9,2709.7
17071,United Kingdom,9,2429.03
17091,United Kingdom,9,3827.76
16954,United Kingdom,9,2085.08
16942,United Kingdom,9,1920.59
17049,United Kingdom,9,5659.98
16817,United Kingdom,9,1604.75
16359,United Kingdom,9,1750.92
16365,United Kingdom,9,1540.42
16265,United Kingdom,9,5447
16156,United Kingdom,9,3122.04
16019,United Kingdom,9,3786.24
17848,United Kingdom,9,901.2
18008,United Kingdom,9,2116.19
17634,United Kingdom,9,2361.97
17750,United Kingdom,9,1797.57
17800,United Kingdom,9,1199.01
17705,United Kingdom,9,1823.52
17504,United Kingdom,9,2997.03
17293,United Kingdom,9,1875.11
17230,United Kingdom,8,3638.41
17365,United Kingdom,8,4801.56
17368,United Kingdom,8,1912.67
17372,United Kingdom,8,1342.68
17338,United Kingdom,8,6643.93
17314,United Kingdom,8,2527.92
17509,United Kingdom,8,6115.14
17396,United Kingdom,8,7330.8
17696,United Kingdom,8,2285.71
17758,United Kingdom,8,3456.7
17629,United Kingdom,8,1814.12
17528,United Kingdom,8,3628.5
17567,United Kingdom,8,4331.48
17861,United Kingdom,8,2100.8
17837,United Kingdom,8,1593.38
17888,United Kingdom,8,726.05
17894,United Kingdom,8,1119.81
17997,United Kingdom,8,1970.67
18116,United Kingdom,8,1418.03
18257,United Kingdom,8,2337.63
16016,United Kingdom,8,1508.76
16115,United Kingdom,8,1667.97
16180,United Kingdom,8,10254.18
16255,United Kingdom,8,2619.91
16316,United Kingdom,8,2938.91
16910,United Kingdom,8,1510.06
17114,United Kingdom,8,808.62
17173,United Kingdom,8,3766.6
17228,United Kingdom,8,1906.09
17211,United Kingdom,8,2317.22
14730,United Kingdom,8,2005.06
14732,United Kingdom,8,2702.49
14769,United Kingdom,8,10674.75
14808,United Kingdom,8,2741.17
14868,United Kingdom,8,2953.59
15034,United Kingdom,8,4308.61
15134,United Kingdom,8,1387.99
15304,United Kingdom,8,694.4
15214,United Kingdom,8,1661.44
15241,United Kingdom,8,1756.44
15632,United Kingdom,8,3285.31
15527,United Kingdom,8,2429.78
15518,United Kingdom,8,1942.45
15521,United Kingdom,8,3000.2
15410,United Kingdom,8,3450.84
15981,United Kingdom,8,3408.48
15953,United Kingdom,8,1659.38
15910,United Kingdom,8,1232.18
15916,United Kingdom,8,1528.09
15932,United Kingdom,8,2495.87
15860,United Kingdom,8,977.21
15861,United Kingdom,8,3165.36
15845,United Kingdom,8,3711.77
15737,United Kingdom,8,1205.12
15750,United Kingdom,8,2465.48
15696,United Kingdom,8,2736.46
15796,United Kingdom,8,2711.56
12704,Finland,8,2340.84
12417,Belgium,8,3212.8
12423,Belgium,8,1859.31
12464,Belgium,8,1212.05
14936,Channel Islands,8,8137.02
12598,France,8,3023.08
12637,France,8,6021.9
12524,Germany,8,4485.72
12352,Norway,8,2506.04
12779,Poland,8,3981.36
17097,Spain,8,954.42
12483,Sweden,8,2484.98
12963,United Kingdom,8,1856.63
12957,United Kingdom,8,4017.54
12949,United Kingdom,8,4167.22
12939,United Kingdom,8,11581.8
12843,United Kingdom,8,1702.26
12910,United Kingdom,8,3075.04
13093,United Kingdom,8,7832.47
13117,United Kingdom,8,984.91
13126,United Kingdom,8,2099.64
13137,United Kingdom,8,3650.41
13012,United Kingdom,8,1661.84
13209,United Kingdom,8,5891.61
13327,United Kingdom,8,3627.77
13394,United Kingdom,8,2520.02
14505,United Kingdom,8,5905.64
14547,United Kingdom,8,4007.54
14541,United Kingdom,8,1461.65
14472,United Kingdom,8,1936.84
14262,United Kingdom,8,2618.23
14334,United Kingdom,8,2552.21
14341,United Kingdom,8,2182.28
14388,United Kingdom,8,3212.84
14344,United Kingdom,8,889.93
14364,United Kingdom,8,3717.35
13971,United Kingdom,8,2758.26
14030,United Kingdom,8,2360.09
14071,United Kingdom,8,1438.82
13862,United Kingdom,8,2209.36
13870,United Kingdom,8,2770.94
13725,United Kingdom,8,1980.56
13743,United Kingdom,7,1341.6
13758,United Kingdom,7,3190.55
13685,United Kingdom,7,3119.44
13630,United Kingdom,7,2031.78
13610,United Kingdom,7,1131.88
13509,United Kingdom,7,979.72
13549,United Kingdom,7,918.2
13527,United Kingdom,7,2287.51
13536,United Kingdom,7,3448.29
13538,United Kingdom,7,1280.85
13953,United Kingdom,7,3515.68
13804,United Kingdom,7,2635.79
14107,United Kingdom,7,2703.23
14004,United Kingdom,7,4582.64
14414,United Kingdom,7,1496.98
14408,United Kingdom,7,2606.53
14329,United Kingdom,7,5014.84
14112,United Kingdom,7,2915.15
14201,United Kingdom,7,747.44
14178,United Kingdom,7,1620.93
14466,United Kingdom,7,2272.4
14533,United Kingdom,7,1949.72
14653,United Kingdom,7,1947.55
14696,United Kingdom,7,2078.95
14572,United Kingdom,7,2832.84
13384,United Kingdom,7,4151.93
13340,United Kingdom,7,10736.48
13435,United Kingdom,7,3809.89
13437,United Kingdom,7,3408.06
13225,United Kingdom,7,6463.84
13232,United Kingdom,7,1357.6
13139,United Kingdom,7,5064.94
13110,United Kingdom,7,1488.67
12867,United Kingdom,7,4036.82
12935,United Kingdom,7,2160.7
12948,United Kingdom,7,2064.95
12766,Portugal,7,6989.63
12744,Singapore,7,21279.29
12826,United Kingdom,7,1474.72
12433,Norway,7,13375.87
12347,Iceland,7,4310
12627,Germany,7,4478.53
12472,Germany,7,6572.11
12726,France,7,2609.1
12727,France,7,3980.7
12599,France,7,1032.58
12562,France,7,3781.74
12684,France,7,2283.63
12494,France,7,1246.1
15708,United Kingdom,7,3364.24
15727,United Kingdom,7,5178.96
15752,United Kingdom,7,2637.38
15874,United Kingdom,7,4405.88
15903,United Kingdom,7,5126.76
15906,United Kingdom,7,1567.69
15993,United Kingdom,7,2797.57
15974,United Kingdom,7,3442.15
15443,United Kingdom,7,3236.91
15370,United Kingdom,7,2386.05
15379,United Kingdom,7,3703.29
15453,United Kingdom,7,1388.37
15473,United Kingdom,7,1771.2
15572,United Kingdom,7,2552.86
15671,United Kingdom,7,2657.13
15260,United Kingdom,7,1810.77
15299,United Kingdom,7,4507.01
15270,United Kingdom,7,2379.49
15351,United Kingdom,7,1960.11
15365,United Kingdom,7,2314.32
15140,United Kingdom,7,2354.25
15105,United Kingdom,7,2298.93
14854,United Kingdom,7,2759.83
14907,United Kingdom,7,3501.1
14976,United Kingdom,7,790.86
14794,United Kingdom,7,1319.91
14738,United Kingdom,7,1314.45
14739,United Kingdom,7,3902.28
14744,United Kingdom,7,1099.98
17213,United Kingdom,7,2781.23
17188,United Kingdom,7,2474.23
17191,United Kingdom,7,2095.13
17193,United Kingdom,7,1699.3
17164,United Kingdom,7,2467.35
17135,United Kingdom,7,1139.73
17133,United Kingdom,7,4892.24
17090,United Kingdom,7,2043.95
17063,United Kingdom,7,1461.14
16929,United Kingdom,7,1295.39
16966,United Kingdom,7,2154.97
16983,United Kingdom,7,1931.25
16987,United Kingdom,7,1625.05
16905,United Kingdom,7,3102.43
16880,United Kingdom,7,1519.08
16791,United Kingdom,7,1721.78
16652,United Kingdom,7,6773.97
16686,United Kingdom,7,3062.83
16725,United Kingdom,7,781.02
16743,United Kingdom,7,2238.09
16744,United Kingdom,7,1304.76
16719,United Kingdom,7,1790.42
16332,United Kingdom,7,1593.2
16348,United Kingdom,7,1469.45
16434,United Kingdom,7,1522.25
16455,United Kingdom,7,1841.18
16556,United Kingdom,7,3313.79
16609,United Kingdom,7,5493.46
16466,United Kingdom,7,1603.46
16477,United Kingdom,7,2494.46
16474,United Kingdom,7,1871.5
16531,United Kingdom,7,1244.59
16266,United Kingdom,7,861.89
16242,United Kingdom,7,3603.21
16218,United Kingdom,7,3084.68
16098,United Kingdom,7,2005.63
16107,United Kingdom,7,3204.16
15987,United Kingdom,7,1451.28
16057,United Kingdom,7,2263.12
18245,United Kingdom,7,2567.06
18230,United Kingdom,7,2810.2
17937,United Kingdom,7,4301.22
17924,United Kingdom,7,2962.5
17819,United Kingdom,7,3704.87
17988,United Kingdom,7,201.12
18094,United Kingdom,7,3017.3
17562,United Kingdom,7,1122.38
17591,United Kingdom,7,2225.97
17596,United Kingdom,7,2827.93
17663,United Kingdom,7,1802.91
17655,United Kingdom,7,2638.94
17669,United Kingdom,7,3406.72
