InvoiceNo,CustomerID
C536379,14527
C536383,15311
C536391,17548
C536506,17897
C536543,17841
C536548,12472
C536606,14092
C536622,12471
C536625,14766
C536642,14390
C536734,16042
C536737,15922
C536757,15838
C536758,13767
C536760,17547
C536807,15834
C536812,16546
C536814,13958
C536815,14443
C536816,14443
C536817,14156
C536818,16995
C536820,18168
C536822,14625
C536825,15384
C536826,17924
C536827,13408
C536828,14264
C536829,13295
C536850,14213
C536853,14679
C536854,15240
C536855,18225
C536978,17954
C536979,17841
C537024,13941
C537039,15708
C537043,15351
C537132,15221
C537143,12748
C537157,15880
C537164,14527
C537203,14606
C537232,12586
C537234,16161
C537314,13497
C537320,14867
C537333,12474
C537373,14487
C537379,15882
C537383,16550
C537398,15426
C537402,15502
C537406,15502
C537408,15502
C537413,14409
C537414,16861
C537416,16138
C537417,13481
C537431,16782
C537444,14850
C537445,15021
C537530,13319
C537596,17954
C537597,15498
C537602,17511
C537611,17675
C537656,15100
C537677,14796
C537684,14901
C537746,15021
C537756,14952
C537763,16713
C537788,15916
C537797,13113
C537798,16553
C537805,15311
C537807,13495
C537812,14299
C537814,12712
C537820,16016
C537821,18193
C537824,12870
C537832,16858
C537834,13267
C537835,14618
C537838,13115
C537853,13370
C537856,14388
C537857,17340
C537860,16252
C537893,12721
C537998,17411
C538052,15181
C538059,14205
C538062,17702
C538066,15738
C538075,13021
C538081,16898
C538082,13777
C538083,15750
C538084,12649
C538085,16350
C538088,14766
C538089,18230
C538091,16499
C538098,14441
C538099,15279
C538100,16579
C538102,14047
C538103,17442
C538105,16781
C538109,16042
C538110,17307
C538111,17950
C538112,14898
C538114,14217
C538115,16817
C538118,17700
C538119,13136
C538121,15535
C538122,14696
C538123,12605
C538124,15329
C538164,14031
C538314,15514
C538341,15514
C538344,13448
C538350,13798
C538357,13798
C538362,15179
C538372,16923
C538373,16779
C538375,17126
C538376,16393
C538377,15224
C538463,17085
C538500,13715
C538530,14796
C538531,13715
C538536,15881
C538595,15555
C538628,17231
C538632,14085
C538642,12476
C538643,12476
C538647,15808
C538650,15311
C538670,13448
C538684,16161
C538690,13802
C538691,14176
C538692,13599
C538693,16558
C538694,16143
C538695,14032
C538696,13050
C538698,13329
C538699,16422
C538700,16499
C538701,16863
C538702,13008
C538703,17519
C538704,14206
C538705,15093
C538711,15468
C538712,17677
C538713,16570
C538717,18141
C538718,15602
C538720,17526
C538723,12434
C538725,16955
C538726,13078
C538734,16810
C538742,13599
C538745,16722
C538749,15713
C538755,16782
C538763,17722
C538768,14829
C538771,13078
C538794,14907
C538798,17041
C538802,17017
C538803,16262
C538804,13769
C538805,14708
C538806,15181
C538813,14606
C538833,14680
C538834,14415
C538847,17404
C538874,12867
C538876,16499
C538882,12797
C538887,13198
C538889,12797
C538891,16233
C538897,16422
C538898,15078
C538904,18168
C538971,12865
C538997,14426
C539003,14527
C539031,12647
C539035,15535
C539037,12666
C539054,17044
C539055,13829
C539057,18230
C539058,17633
C539059,14829
C539063,15107
C539065,14898
C539066,17912
C539067,15194
C539068,13266
C539069,12947
C539071,17820
C539072,15664
C539073,12971
C539090,16996
C539097,12621
C539100,16996
C539104,12494
C539110,16470
C539114,12494
C539191,17062
C539195,12748
C539221,14911
C539224,17377
C539244,14606
C539251,17213
C539253,17188
C539258,16233
C539260,15100
C539270,14777
C539271,14639
C539273,13209
C539274,13408
C539276,16503
C539277,15777
C539278,18269
C539279,13267
C539284,16770
C539287,17655
C539289,18065
C539291,18075
C539301,13496
C539302,15392
C539329,16013
C539402,17315
C539409,12720
C539438,16607
C539448,15157
C539467,15044
C539476,16686
C539486,18256
C539499,15312
C539565,14113
C539566,16705
C539568,13267
C539569,17204
C539573,14107
C539574,16713
C539575,13089
C539576,14911
C539577,17924
C539589,14527
C539596,13694
C539598,14299
C539599,17951
C539600,13329
C539601,14119
C539602,13369
C539603,14911
C539605,13050
C539606,16145
C539608,16873
C539632,17230
C539640,15311
C539644,12471
C539655,13089
C539657,16134
C539661,12971
C539667,13148
C539707,18223
C539709,18176
C539710,14769
C539711,13319
C539712,15602
C539719,14643
C539726,17007
C539827,15044
C539830,14944
C539832,17239
C539838,13458
C539857,15358
C539866,12427
C539943,14032
C539944,14560
C539945,17069
C539947,13854
C539949,17581
C539950,13534
C539956,12980
C539983,15856
C540006,14606
C540007,15379
C540030,16029
C540057,12483
C540097,15373
C540109,17389
C540112,15973
C540129,12578
C540142,12782
C540151,12494
C540152,12395
C540156,12683
C540158,12471
C540164,14911
C540165,18109
C540171,14527
C540177,16316
C540243,12585
C540244,17213
C540246,13081
C540250,17511
C540270,14680
C540271,12503
C540307,15823
C540346,12471
C540347,16424
C540360,18041
C540366,15061
C540367,12413
C540376,13488
C540377,16656
C540378,13715
C540379,15101
C540380,16094
C540381,16705
C540382,12957
C540384,14961
C540385,14426
C540386,12417
C540388,13115
C540389,14426
C540390,16191
C540391,13047
C540392,12753
C540393,17428
C540394,17696
C540398,14047
C540400,16150
C540403,17230
C540417,13680
C540470,14505
C540503,13668
C540527,14606
C540535,15005
C540555,16279
C540634,13672
C540643,12471
C540652,17406
C540780,14299
C540781,16875
C540783,17629
C540784,13126
C540786,15194
C540787,13408
C540788,13576
C540790,16145
C540791,13534
C540792,16203
C540793,14295
C540796,15107
C540814,15518
C540820,15518
C540837,14733
C540841,15602
C540843,15602
C540845,16191
C540846,13162
C540847,13458
C540850,12665
C540852,15197
C540853,12413
C540860,15953
C540895,17095
C540937,14748
C540938,15061
C540942,13113
C540944,16554
C540948,13093
C540949,13093
C540950,18226
C540952,14606
C541007,13078
C541009,17581
C541089,14229
C541090,17406
C541092,13473
C541117,15100
C541201,13081
C541222,14299
C541229,16359
C541231,13455
C541232,16235
C541233,13107
C541234,13862
C541235,16670
C541237,13599
C541245,15535
C541254,17841
C541257,18069
C541261,14404
C541284,17744
C541415,14292
C541416,14606
C541418,13883
C541433,12346
C541498,13693
C541499,13693
C541501,13458
C541502,18190
C541503,15291
C541512,17576
C541572,15171
C541573,15311
C541586,12383
C541589,15831
C541603,14572
C541641,17841
C541654,12540
C541656,17315
C541674,16892
C541688,12683
C541689,13090
C541691,13090
C541693,14309
C541694,17364
C541701,14895
C541704,13284
C541705,13854
C541707,18223
C541710,14320
C541735,12626
C541779,13102
C541786,14441
C541787,12829
C541790,14175
C541817,13929
C541818,17389
C541821,15281
C541822,15658
C541823,17677
C541824,15939
C541825,12652
C541826,18260
C541828,13769
C541829,14175
C541831,18223
C541833,17644
C541834,17048
C541852,17841
C541861,13742
C541863,13798
C541868,14796
C541885,16782
C541897,15039
C541959,14692
C541961,17799
C541964,15291
C541994,14113
C542032,15311
C542038,14534
C542060,14680
C542078,12854
C542082,15213
C542086,18277
C542088,12553
C542089,12681
C542091,17091
C542092,14389
C542094,13310
C542095,17730
C542097,14215
C542101,12471
C542104,16191
C542138,17368
C542139,17094
C542140,12947
C542150,14049
C542218,14606
C542232,16714
C542244,13098
C542245,13098
C542256,17722
C542257,14341
C542259,16656
C542260,13890
C542261,17306
C542262,17591
C542263,14849
C542264,15215
C542270,13050
C542271,12637
C542273,12578
C542346,12709
C542348,12539
C542352,15596
C542366,13777
C542376,13777
C542383,14299
C542385,14290
C542395,17389
C542400,15189
C542402,16124
C542403,13534
C542404,13534
C542413,16923
C542416,16133
C542421,17180
C542424,18075
C542426,14146
C542427,14180
C542537,12501
C542539,14229
C542588,12997
C542589,14709
C542593,15549
C542604,13148
C542635,14688
C542637,14688
C542638,13396
C542639,16570
C542640,16839
C542642,15827
C542643,13615
C542644,15497
C542645,14180
C542693,12908
C542704,15189
C542714,12437
C542721,14502
C542726,16191
C542730,13506
C542732,14180
C542734,14442
C542738,13089
C542740,12853
C542742,15358
C542744,16191
C542748,15881
C542753,15881
C542781,12626
C542787,15864
C542792,14627
C542793,14113
C542798,12477
C542799,14606
C542805,14606
C542832,15694
C542866,15311
C542910,17511
C542912,13141
C542913,16779
C542916,15940
C542924,12559
C542951,16985
C542991,14460
C543004,13939
C543026,16717
C543039,16992
C543042,17337
C543050,12625
C543052,14180
C543109,12775
C543112,14133
C543119,14606
C543175,12712
C543195,13113
C543239,14462
C543241,17315
C543244,16725
C543290,16686
C543307,18118
C543347,12472
C543353,16033
C543356,14443
C543368,18245
C543375,16321
C543381,15513
C543388,14646
C543431,12474
C543442,14911
C543445,12662
C543465,13873
C543469,12709
C543475,14415
C543551,16716
C543603,15570
C543605,13110
C543606,14665
C543607,15602
C543608,17230
C543609,16705
C543611,17850
C543620,14081
C543621,14475
C543624,12931
C543627,15601
C543628,16558
C543632,14842
C543633,17188
C543634,13599
C543635,13894
C543636,13767
C543637,15738
C543638,16403
C543640,12967
C543643,16161
C543644,17609
C543659,16730
C543661,12471
C543662,14441
C543663,18118
C543671,18087
C543706,15044
C543729,15796
C543741,13021
C543742,14676
C543743,12505
C543744,13672
C543745,13672
C543749,13672
C543750,18250
C543752,14031
C543755,14304
C543756,13089
C543757,13115
C543758,15299
C543760,15638
C543761,12943
C543763,13050
C543764,17035
C543765,16265
C543766,13319
C543767,13767
C543768,14497
C543769,17213
C543771,15658
C543772,13534
C543773,12410
C543775,13102
C543776,14133
C543778,18084
C543779,15240
C543780,17334
C543784,13089
C543785,13098
C543786,13078
C543787,15061
C543789,17450
C543790,17071
C543791,15270
C543792,13725
C543811,15640
C543817,17841
C543818,16897
C543819,16928
C543830,12476
C543834,12553
C543835,12963
C543837,14431
C543838,15827
C543840,14527
C543841,17095
C543917,12951
C543918,12921
C543972,17924
C543974,14606
C543980,14189
C543992,12583
C544034,14701
C544038,14659
C544057,13623
C544080,17819
C544099,15059
C544117,12727
C544118,16306
C544171,13001
C544174,13001
C544184,16684
C544279,17954
C544300,18125
C544310,17841
C544318,12989
C544397,12462
C544413,14760
C544414,13408
C544415,16133
C544416,16713
C544417,17512
C544419,12395
C544420,16191
C544422,12553
C544424,18093
C544425,13078
C544427,17612
C544428,16306
C544429,16306
C544432,16979
C544433,15601
C544435,15122
C544436,18172
C544437,16027
C544442,15465
C544451,13097
C544458,14667
C544507,17865
C544553,14092
C544557,17422
C544558,16073
C544559,14329
C544560,17677
C544561,15687
C544570,12471
C544577,12365
C544590,14744
C544594,15079
C544608,15290
C544609,12494
C544635,18257
C544653,13113
C544655,13113
C544665,12852
C544669,18055
C544674,13421
C544679,12616
C544682,17511
C544696,14735
C544775,14211
C544780,16701
C544814,15590
C544827,17147
C544828,17147
C544829,17314
C544830,13118
C544831,15146
C544840,16719
C544897,17867
C544901,15078
C544902,12362
C545003,18231
C545033,14156
C545040,13684
C545068,14157
C545189,17841
C545277,12933
C545307,17027
C545329,12352
C545330,12352
C545421,13166
C545432,14657
C545434,13410
C545436,13093
C545437,13093
C545438,14231
C545439,14243
C545440,16843
C545442,17063
C545443,17442
C545444,13767
C545446,12753
C545449,16573
C545450,16839
C545451,13477
C545452,16422
C545453,14639
C545454,15189
C545455,16473
C545456,17865
C545457,17428
C545458,13018
C545476,14527
C545478,16422
C545502,15078
C545504,13630
C545507,12565
C545508,17017
C545509,17017
C545510,15281
C545511,18198
C545513,15932
C545516,14276
C545520,14744
C545525,12415
C545529,16191
C545531,17675
C545532,15257
C545537,16212
C545556,15005
C545569,14239
C545639,13113
C545650,15311
C545671,15465
C545672,15304
C545673,14745
C545674,18223
C545677,14543
C545678,16678
C545679,16923
C545689,16033
C545720,15039
C545723,17048
C545724,14051
C545728,12484
C545739,12754
C545740,18257
C545769,14903
C545773,17139
C545823,13884
C545824,15241
C545825,12839
C545828,15189
C545829,15290
C545831,15194
C545833,16013
C545834,13458
C545836,14606
C545837,12598
C545839,15110
C545840,13089
C545841,17675
C545843,12921
C545844,16838
C545846,13081
C545847,15903
C545848,17672
C545849,16598
C545850,15811
C545852,14048
C545866,17841
C545867,17841
C545885,15827
C545891,12754
C545892,12755
C545903,13345
C545997,12679
C546022,14507
C546080,15078
C546081,15974
C546106,14527
C546125,16316
C546128,15622
C546131,16057
C546162,17404
C546167,15611
C546168,16670
C546170,15034
C546173,14227
C546174,13094
C546191,16422
C546203,16839
C546204,13599
C546205,18223
C546206,13014
C546207,14211
C546208,12417
C546209,15596
C546210,14713
C546211,15358
C546214,15724
C546217,14057
C546234,13599
C546238,13767
C546241,14903
C546256,15738
C546267,15093
C546270,17567
C546278,13476
C546302,14214
C546313,13094
C546320,12708
C546323,13975
C546325,14911
C546327,14911
C546362,16419
C546363,16912
C546395,14214
C546400,17994
C546416,14800
C546496,17646
C546501,12584
C546507,12712
C546511,12921
C546517,15308
C546519,14350
C546529,15502
C546535,15502
C546536,15493
C546548,16518
C546559,12727
C546623,17954
C546641,13451
C546645,15311
C546647,17419
C546664,16061
C546671,15215
C546680,13121
C546730,18183
C546735,16029
C546740,16983
C546773,14505
C546777,17080
C546783,12924
C546854,17511
C546858,14081
C546859,17603
C546864,13319
C546865,14226
C546867,18218
C546868,15671
C546870,14462
C546879,16422
C546880,13093
C546881,15159
C546885,15671
C546886,12520
C546887,14329
C546889,13971
C546893,14156
C546894,14334
C546895,15358
C546897,18183
C546901,14112
C546903,16217
C546904,16150
C546905,15061
C546906,17675
C546907,16422
C546930,14701
C546931,12989
C546932,16297
C546978,17857
C546997,12748
C547024,15065
C547031,15465
C547043,16156
C547054,16444
C547104,16817
C547168,13593
C547187,12779
C547193,17811
C547198,14606
C547208,15189
C547228,16626
C547229,17213
C547230,18189
C547231,15291
C547232,12994
C547234,12428
C547235,15291
C547236,14180
C547237,16080
C547241,16817
C547309,17416
C547342,15044
C547368,16809
C547376,14227
C547388,12352
C547408,15658
C547409,13092
C547410,18183
C547495,15021
C547502,14513
C547574,14223
C547581,12474
C547582,12474
C547594,12693
C547661,13736
C547675,17754
C547676,15189
C547710,14875
C547711,13534
C547763,14194
C547791,17979
C547797,17460
C547798,17204
C547802,12921
C547806,12528
C547807,14194
C547808,13014
C547836,15465
C547838,12916
C547847,14232
C547848,12921
C547849,12471
C547851,16782
C547852,15065
C547853,15615
C547854,14586
C547855,14194
C547856,16256
C547857,13050
C547858,14911
C547859,13725
C547889,14410
C547930,12594
C547958,15032
C547961,15032
C547968,12471
C547988,13477
C547992,18225
C548009,14245
C548015,13802
C548155,15906
C548174,13662
C548187,17511
C548193,14680
C548307,17314
C548341,13089
C548350,15648
C548352,12921
C548355,12921
C548356,12472
C548357,15785
C548360,13534
C548362,13268
C548374,13047
C548375,14256
C548387,14794
C548389,16713
C548391,13488
C548392,18075
C548411,13316
C548453,17428
C548454,16422
C548456,16422
C548460,16801
C548462,14527
C548463,13225
C548464,13043
C548465,17526
C548467,16619
C548469,14543
C548471,14267
C548485,14051
C548487,14952
C548488,16638
C548495,17075
C548503,14410
C548508,14189
C548513,13777
C548532,14031
C548543,14525
C548564,12616
C548573,15045
C548576,15696
C548577,13694
C548607,16700
C548609,15589
C548625,13078
C548626,15622
C548628,13184
C548647,12888
C548667,12781
C548695,17243
C548713,17337
C548717,16297
C548721,12957
C548722,13481
C548723,15874
C548724,15632
C548727,17725
C548729,12434
C548731,12755
C548738,14711
C548748,15223
C548830,12744
C548834,12744
C548851,15311
C548857,15311
C548866,14606
C548891,13418
C548906,13636
C548908,18108
C548914,12669
C548915,12668
C548941,15061
C548947,14546
C548972,15674
C548976,17725
C548982,15018
C548995,17841
C549013,15648
C549019,12474
C549039,17675
C549041,17644
C549045,14407
C549049,17677
C549050,13767
C549051,14747
C549098,12481
C549162,17438
C549184,12428
C549191,16422
C549230,12949
C549252,16584
C549253,12408
C549254,13769
C549265,16245
C549269,16701
C549288,14527
C549290,14395
C549315,12949
C549430,13846
C549437,13005
C549438,12471
C549450,13089
C549452,17940
C549530,13863
C549532,16217
C549533,12408
C549535,14110
C549540,17114
C549544,15311
C549545,18118
C549549,16359
C549565,13610
C549580,13501
C549582,12656
C549666,13113
C549685,13266
C549686,15646
C549688,15449
C549692,13668
C549723,13995
C549731,13266
C549753,13268
C549783,16558
C549786,14071
C549788,13098
C549822,12854
C549823,16875
C549824,15189
C549827,12463
C549840,15189
C549895,16553
C549897,15363
C549898,13078
C549899,14961
C549900,17180
C549905,17576
C549908,13324
C549912,15737
C549913,14267
C549919,15201
C549921,15109
C549922,15674
C549930,16454
C549945,18270
C549955,12359
C549960,16652
C549962,16652
C549968,14064
C549973,17873
C549986,18178
C549987,14367
C550009,16422
C550010,15299
C550013,12982
C550014,16133
C550024,13089
C550026,14339
C550027,14195
C550028,14606
C550029,13539
C550099,16933
C550127,15212
C550147,12637
C550165,15358
C550168,14339
C550170,17017
C550171,12585
C550172,17440
C550174,16394
C550176,14619
C550177,13534
C550181,13069
C550195,14796
C550300,17243
C550306,16905
C550349,15973
C550353,17841
C550355,13811
C550356,13458
C550358,13113
C550363,16033
C550365,12731
C550423,14403
C550442,16550
C550451,17204
C550454,15615
C550455,13098
C550456,15749
C550463,13157
C550466,14032
C550472,18009
C550475,13798
C550482,17204
C550484,16933
C550485,13317
C550486,16735
C550489,16033
C550494,15311
C550511,13798
C550529,18102
C550530,13082
C550533,17071
C550534,14326
C550536,16325
C550537,15932
C550538,17746
C550540,14339
C550609,14502
C550611,12569
C550614,13735
C550642,15027
C550646,16873
C550647,13134
C550648,13134
C550650,18171
C550664,16923
C550668,12457
C550672,12457
C550709,12997
C550751,15465
C550752,13089
C550770,17856
C550771,17856
C550780,17211
C550787,17450
C550807,13717
C550808,14323
C550809,14189
C550810,15135
C550812,15655
C550814,16611
C550825,18177
C550959,15594
C550961,14428
C550962,14834
C550966,17663
C550969,14152
C551015,12753
C551017,17975
C551018,12705
C551061,16356
C551139,17061
C551140,17613
C551167,14211
C551175,14329
C551178,15805
C551179,16422
C551180,14586
C551190,17940
C551195,13113
C551196,17069
C551265,14527
C551285,15005
C551316,15220
C551329,14626
C551330,17115
C551331,16398
C551333,12681
C551335,14198
C551336,13993
C551348,12415
C551386,16422
C551388,17874
C551463,13534
C551464,13085
C551465,14640
C551466,14189
C551508,13102
C551509,15845
C551510,16163
C551511,14311
C551512,14032
C551513,16592
C551521,16401
C551522,14800
C551526,16401
C551540,14735
C551541,13692
C551551,17841
C551557,13113
C551585,12483
C551587,13505
C551588,12708
C551602,17692
C551646,12888
C551648,14800
C551659,13668
C551670,15898
C551674,16654
C551683,13209
C551684,12947
C551685,16029
C551699,16029
C551712,13267
C551732,15382
C551737,14606
C551778,18220
C551841,15311
C551861,12840
C551863,16145
C551864,12483
C551865,17644
C551867,16227
C551892,16265
C551947,15147
C551948,17511
C551949,14149
C551999,14911
C552012,13552
C552014,15708
C552015,16722
C552016,15696
C552019,14227
C552020,18183
C552021,15125
C552022,12840
C552024,14961
C552027,16705
C552029,15622
C552030,15189
C552031,13089
C552043,12476
C552047,14796
C552049,17548
C552173,15144
C552190,12748
C552212,17422
C552213,13499
C552237,14056
C552241,14676
C552258,16923
C552300,14606
C552301,17323
C552317,12700
C552334,12853
C552335,12683
C552339,14667
C552343,15521
C552406,12709
C552423,14527
C552462,16242
C552535,13269
C552546,13767
C552552,16525
C552553,15674
C552556,17504
C552564,13694
C552568,12901
C552569,12901
C552570,15676
C552585,17841
C552650,16672
C552698,13448
C552700,14587
C552701,16094
C552704,13098
C552705,15620
C552706,13014
C552707,15696
C552709,12886
C552718,14462
C552719,13098
C552720,18272
C552722,12720
C552744,16297
C552765,16554
C552805,14149
C552841,15827
C552849,14367
C552856,14288
C552858,14180
C552863,13012
C552876,13235
C552889,14606
C552919,13282
C552936,13113
C552944,17811
C552995,18133
C553019,12757
C553020,12921
C553023,13952
C553024,13136
C553025,13971
C553026,15249
C553027,13741
C553028,15194
C553029,14201
C553030,18142
C553031,13908
C553032,13320
C553033,13883
C553150,17841
C553222,13662
C553230,14201
C553397,17841
C553407,15768
C553409,18136
C553414,12600
C553424,17811
C553478,17677
C553479,13098
C553482,14527
C553483,17527
C553486,17423
C553502,17677
C553508,14000
C553510,14342
C553512,15005
C553514,17700
C553516,14911
C553517,14209
C553518,16642
C553519,18218
C553529,18118
C553530,13777
C553532,14911
C553533,17612
C553534,14849
C553536,14051
C553557,13266
C553558,14112
C553560,14931
C553561,15596
C553562,13534
C553563,14342
C553564,17581
C553568,13650
C553569,16116
C553656,17389
C553665,14527
C553667,14755
C553669,15128
C553687,15311
C553748,16676
C553763,15081
C553780,15730
C553801,17526
C553840,12471
C553841,16029
C553851,15811
C553866,14620
C553875,15660
C553877,13319
C553880,13762
C553903,17671
C553904,13081
C553905,15622
C553906,16554
C553910,18168
C553914,18109
C553924,12476
C553998,16618
C553999,13408
C554001,16818
C554002,13692
C554004,15367
C554005,15620
C554006,13418
C554010,17940
C554011,13151
C554012,15125
C554025,14565
C554029,12681
C554100,15555
C554127,17949
C554136,14239
C554140,13004
C554150,14573
C554152,18257
C554153,16033
C554154,12757
C554197,14573
C554203,14573
C554210,14573
C554266,12474
C554273,13883
C554300,13455
C554302,12757
C554303,12757
C554308,12757
C554330,12749
C554331,16523
C554332,14009
C554333,13310
C554334,13089
C554335,15201
C554336,12474
C554338,14038
C554339,15128
C554340,17017
C554341,15630
C554342,16912
C554343,14859
C554344,14032
C554345,13767
C554346,18260
C554361,17811
C554373,16998
C554374,15128
C554477,16086
C554486,13168
C554493,16818
C554516,14527
C554517,15434
C554518,16592
C554519,13549
C554521,14407
C554522,18223
C554523,12863
C554525,15093
C554527,15251
C554528,14217
C554529,14226
C554530,15596
C554531,12463
C554532,14194
C554533,16923
C554535,17940
C554536,16705
C554537,16057
C554539,14911
C554540,15125
C554541,13078
C554558,13268
C554685,16161
C554686,15729
C554687,13479
C554688,14442
C554689,15027
C554690,16871
C554691,12921
C554692,12935
C554693,14292
C554715,13658
C554717,13089
C554781,14245
C554790,14911
C554793,12901
C554846,16700
C554847,12909
C554848,13659
C554849,17865
C554851,16463
C554856,17166
C554862,13468
C554863,15660
C554864,15122
C554867,13050
C554870,15078
C554871,18225
C554872,16341
C554873,13988
C554874,15615
C554905,14191
C554925,17272
C554926,16422
C554931,17841
C554973,14976
C554983,17152
C555006,13694
C555013,12601
C555014,13113
C555046,12431
C555054,14903
C555074,16837
C555100,12493
C555105,17841
C555163,12473
C555196,14606
C555197,17739
C555239,15039
C555244,12779
C555246,13662
C555248,17682
C555252,12987
C555253,17820
C555254,14740
C555255,17621
C555256,15955
C555258,12947
C555261,16873
C555262,12909
C555265,13599
C555267,16359
C555268,18257
C555269,15140
C555271,14338
C555272,16496
C555273,12708
C555274,14911
C555288,12431
C555328,16449
C555329,15622
C555337,16729
C555338,14323
C555339,16422
C555341,13004
C555342,17578
C555345,13267
C555346,12710
C555354,16566
C555355,15841
C555357,16422
C555358,13854
C555360,16133
C555361,13308
C555362,15785
C555364,14903
C555365,15791
C555366,12590
C555384,13534
C555386,15194
C555398,17375
C555404,17231
C555409,13854
C555411,13069
C555421,12779
C555475,18232
C555487,16484
C555529,16923
C555532,15722
C555563,17841
C555595,17652
C555596,17644
C555597,15796
C555598,15095
C555599,17190
C555600,12633
C555605,15281
C555629,14543
C555636,15073
C555639,13458
C555643,16520
C555652,13094
C555723,15737
C555727,15737
C555729,13552
C555730,14625
C555837,16092
C555860,16763
C555864,15189
C555873,15498
C555874,17162
C555877,16218
C555879,14292
C555880,15643
C555881,12473
C555882,14625
C555883,13862
C555885,14842
C555889,13476
C555892,14227
C555908,15687
C555935,12567
C556011,14475
C556037,14527
C556057,14221
C556096,13599
C556101,15643
C556117,12802
C556265,16684
C556268,13317
C556269,13456
C556270,14232
C556272,15159
C556273,13534
C556274,15299
C556275,13115
C556276,14696
C556277,12980
C556278,13462
C556281,14040
C556293,13094
C556294,15108
C556295,13662
C556297,15609
C556324,14287
C556327,17659
C556414,13985
C556436,16358
C556445,15098
C556448,15098
C556453,14525
C556457,15856
C556458,15491
C556493,17802
C556511,16525
C556518,16794
C556522,16938
C556530,18109
C556532,13856
C556535,17169
C556633,17696
C556634,17675
C556635,13505
C556637,15382
C556638,14231
C556639,13856
C556640,13148
C556643,17841
C556644,17115
C556645,13771
C556646,18221
C556647,13012
C556648,16038
C556649,15238
C556656,13148
C556668,15827
C556669,16133
C556673,16949
C556675,16013
C556676,13397
C556677,15643
C556678,13658
C556729,13319
C556735,14527
C556787,16745
C556793,12818
C556796,16013
C556818,17284
C556869,13199
C556877,15498
C556880,18073
C556888,15005
C556896,12843
C556904,14527
C556911,17511
C556919,17511
C556920,13047
C556923,15400
C556925,16013
C556930,15625
C556938,15625
C556957,12705
C556966,13523
C557004,16729
C557022,16942
C557037,16814
C557043,14245
C557047,13488
C557054,17828
C557059,16672
C557060,17725
C557061,14895
C557062,13213
C557111,17865
C557142,12678
C557148,13735
C557154,15296
C557165,15238
C557175,16170
C557224,15311
C557249,16817
C557269,13097
C557282,13632
C557288,18109
C557300,12421
C557405,12708
C557408,12621
C557411,13343
C557413,14701
C557463,14584
C557465,14796
C557467,17157
C557475,13517
C557478,13408
C557479,16700
C557487,14796
C557505,17490
C557508,16684
C557512,15700
C557515,17463
C557516,17651
C557519,16739
C557520,15291
C557521,13694
C557522,17193
C557566,15998
C557624,16422
C557629,14776
C557637,13630
C557638,17450
C557646,17306
C557647,17139
C557648,17677
C557649,15498
C557650,15152
C557651,17428
C557652,16145
C557653,14040
C557654,14243
C557655,15125
C557656,14001
C557657,13763
C557658,13630
C557659,16186
C557660,13999
C557661,13936
C557665,13384
C557666,12947
C557709,15840
C557773,15059
C557779,13004
C557791,14099
C557842,14159
