customerid,country,rep_customer,revenue
12748,United Kingdom,210,33719.73
14911,EIRE,201,143825.06
17841,United Kingdom,124,40991.57
13089,United Kingdom,97,58825.83
14606,United Kingdom,93,12156.65
15311,United Kingdom,91,60767.9
12971,United Kingdom,86,11189.91
14646,Netherlands,74,280206.02
16029,United Kingdom,63,81024.84
13408,United Kingdom,62,28117.04
18102,United Kingdom,60,259657.3
13798,United Kingdom,57,37153.85
14156,EIRE,55,117379.63
14527,United Kingdom,55,8508.82
16422,United Kingdom,51,34684.4
13694,United Kingdom,50,65039.62
15061,United Kingdom,48,54534.14
16013,United Kingdom,47,37130.6
15039,United Kingdom,47,19914.44
17450,United Kingdom,46,194550.79
17949,United Kingdom,45,58510.48
14298,United Kingdom,44,51527.3
15189,United Kingdom,41,16225.39
17961,United Kingdom,39,1296.44
17811,United Kingdom,39,7837.73
17315,United Kingdom,38,6292.26
13199,United Kingdom,38,9817.12
12921,United Kingdom,37,16587.09
13468,United Kingdom,37,5704.97
13767,United Kingdom,37,17220.36
13263,United Kingdom,35,7454.07
17850,United Kingdom,34,5391.21
16839,United Kingdom,34,16594.35
17389,United Kingdom,34,31833.68
16133,United Kingdom,33,14589.04
13777,United Kingdom,33,25977.16
12569,Germany,32,4124.69
14735,United Kingdom,32,6065.69
15078,United Kingdom,32,9743.11
12682,France,31,12288.22
17511,United Kingdom,31,91062.38
17675,United Kingdom,31,20374.28
15159,United Kingdom,30,18641.01
17757,United Kingdom,30,5605.29
12471,Germany,30,19824.05
17677,United Kingdom,30,16363.23
17381,United Kingdom,29,20275.61
15005,United Kingdom,28,6316.57
12901,United Kingdom,28,17654.54
13098,United Kingdom,28,28882.44
16684,United Kingdom,28,66653.56
13018,United Kingdom,28,7277.7
17428,United Kingdom,28,17256.85
16168,United Kingdom,27,3787.6
15856,United Kingdom,27,16387.57
15498,United Kingdom,27,13316.4
18109,United Kingdom,26,8052.97
16525,United Kingdom,26,13027.45
13078,United Kingdom,26,12627.94
13319,United Kingdom,26,10845.55
17243,United Kingdom,26,8676.85
15769,United Kingdom,26,56252.72
18118,United Kingdom,26,5653.82
14667,United Kingdom,25,9241.2
12841,United Kingdom,25,4022.35
14180,United Kingdom,25,4748.52
13854,United Kingdom,25,8109.52
17581,United Kingdom,25,11045.04
14849,United Kingdom,25,7930.54
12720,Germany,25,5781.73
13534,United Kingdom,25,5870.08
13113,United Kingdom,24,12245.96
13069,United Kingdom,24,4436.12
13102,United Kingdom,24,6424.09
14056,United Kingdom,23,8214.65
15615,United Kingdom,23,10399.74
17857,United Kingdom,23,26879.04
14051,United Kingdom,23,15610.39
16353,United Kingdom,23,6675.71
12681,France,22,13787.54
16779,United Kingdom,22,10629.72
15358,United Kingdom,22,8347.2
16333,United Kingdom,22,26626.8
14560,United Kingdom,22,2237.77
14194,United Kingdom,21,11349.52
16729,United Kingdom,21,7239.92
13668,United Kingdom,21,6363.59
18041,United Kingdom,21,4183.39
16523,United Kingdom,21,9418.47
13599,United Kingdom,21,5153.67
16814,United Kingdom,21,6509.1
14688,United Kingdom,21,5630.87
17068,United Kingdom,21,4552.14
12415,Australia,21,124914.53
16931,United Kingdom,21,4604.22
16672,United Kingdom,20,8134.94
12621,Germany,20,13689.67
13881,United Kingdom,20,17159.52
16558,United Kingdom,20,8338.49
18229,United Kingdom,20,7276.9
18172,United Kingdom,20,7561.68
16033,United Kingdom,20,8816.4
17017,United Kingdom,20,8694.26
14895,United Kingdom,20,11138.71
16705,United Kingdom,20,14034.99
17377,United Kingdom,20,4100.92
17865,United Kingdom,20,10526.32
15513,United Kingdom,19,14758.22
17306,United Kingdom,19,8631.31
16161,United Kingdom,19,5575.56
14060,United Kingdom,19,6140.42
16945,United Kingdom,19,4345.5
15838,United Kingdom,19,33643.08
14031,United Kingdom,19,17286.86
16923,United Kingdom,19,7247.61
13267,United Kingdom,19,4521.49
14397,United Kingdom,19,2612.96
17576,United Kingdom,19,3622.68
17735,United Kingdom,19,13110.02
16210,United Kingdom,18,21086.3
14534,United Kingdom,18,4447.05
14562,United Kingdom,18,5074.77
15290,United Kingdom,18,7943.22
13576,United Kingdom,18,6717.34
12474,Germany,18,7375.79
12437,France,18,4951.41
13969,United Kingdom,18,9053.94
13004,United Kingdom,18,5655.91
13418,United Kingdom,18,6127.43
16458,United Kingdom,18,3482.74
15465,United Kingdom,18,7354.62
14085,United Kingdom,18,4448.54
16746,United Kingdom,18,6697.66
13050,United Kingdom,17,5836.86
17920,United Kingdom,17,4204.1
18241,United Kingdom,17,2073.09
14096,United Kingdom,17,65164.79
14057,United Kingdom,17,6217.96
17238,United Kingdom,17,3744.65
18198,United Kingdom,17,5425.56
16928,United Kingdom,17,2847.6
14702,United Kingdom,17,3292.14
14796,United Kingdom,17,8022.49
16626,United Kingdom,17,4413.1
12540,Spain,17,13400.24
16745,United Kingdom,17,7194.3
17706,United Kingdom,17,10504.49
15805,United Kingdom,17,5528.48
14217,United Kingdom,17,2004.98
15044,United Kingdom,17,7700.23
15144,United Kingdom,17,6580.44
16904,United Kingdom,16,3754.27
18283,United Kingdom,16,2094.88
14543,United Kingdom,16,3630.33
16592,United Kingdom,16,4113.68
16843,United Kingdom,16,10196.57
14367,United Kingdom,16,9261.52
15738,United Kingdom,16,4812.42
15187,United Kingdom,16,4777.18
14680,United Kingdom,16,28754.11
16011,United Kingdom,16,3362.71
15555,United Kingdom,16,4805.17
14282,United Kingdom,15,3729.34
12583,France,15,7281.38
15271,United Kingdom,15,2507.07
17690,United Kingdom,15,4757.95
16187,United Kingdom,15,6911.44
15939,United Kingdom,15,6115.01
12989,United Kingdom,15,6924.11
15046,United Kingdom,15,5213.77
17611,United Kingdom,15,3984.22
15194,United Kingdom,15,7616.53
15125,United Kingdom,15,11528.48
14135,United Kingdom,15,4690.31
17404,Sweden,15,31906.82
15640,United Kingdom,15,12515.66
15291,United Kingdom,15,4668.3
13695,United Kingdom,15,2504.13
14189,United Kingdom,15,4654.08
13269,United Kingdom,15,5346.23
17719,United Kingdom,15,5396.04
16656,United Kingdom,15,8625.8
17346,United Kingdom,15,2676.56
13985,United Kingdom,15,7060.13
12931,United Kingdom,15,42055.96
12709,Germany,15,9736.52
15867,United Kingdom,15,3812.64
16713,United Kingdom,15,6923.13
12683,France,15,8476.57
13090,United Kingdom,14,8910.82
17965,United Kingdom,14,2622.57
14607,United Kingdom,14,16569.5
17790,United Kingdom,14,1965.55
15955,United Kingdom,14,4416.26
18223,United Kingdom,14,6484.54
18065,United Kingdom,14,2392.83
15827,United Kingdom,14,1836.09
16326,United Kingdom,14,3110.96
15694,United Kingdom,14,6479.4
13458,United Kingdom,14,9646.57
12839,United Kingdom,14,5591.42
13756,United Kingdom,14,5189.52
17220,United Kingdom,14,3198.25
16607,United Kingdom,14,3347.71
15601,United Kingdom,14,6776.56
17613,United Kingdom,14,4559.15
13230,United Kingdom,14,2806.97
14092,United Kingdom,14,4076.91
15547,United Kingdom,14,4954.84
12431,Australia,13,5514.67
16701,United Kingdom,13,5398.3
15804,United Kingdom,13,4206.39
13001,United Kingdom,13,9818.82
15581,United Kingdom,13,3679.97
13709,United Kingdom,13,6328.05
16191,United Kingdom,13,5180.52
17730,United Kingdom,13,5298.48
17402,United Kingdom,13,2633.85
15719,United Kingdom,13,5045.61
12757,Portugal,13,7857.1
14709,United Kingdom,13,4921.04
16782,United Kingdom,13,2279.9
16700,United Kingdom,13,5076.55
16393,United Kingdom,13,3046.21
14401,United Kingdom,13,4051.48
16241,United Kingdom,13,2607.87
12712,Germany,13,4396.13
17975,United Kingdom,13,4488.81
15152,United Kingdom,13,4745.69
13013,United Kingdom,13,4810.94
15249,United Kingdom,13,6688.46
13880,United Kingdom,13,3219.77
14415,United Kingdom,13,5900.28
16722,United Kingdom,13,4730.81
15611,United Kingdom,13,1591.45
14088,United Kingdom,13,50491.81
16764,United Kingdom,13,2799.25
13871,United Kingdom,13,6403.25
14191,United Kingdom,13,4684.76
13488,United Kingdom,13,8968.31
17139,United Kingdom,12,10668.47
13266,United Kingdom,12,3834.26
15373,United Kingdom,12,2415.91
16401,United Kingdom,12,4098.32
12678,France,12,17628.46
15971,United Kingdom,12,4199.85
15235,United Kingdom,12,2247.51
17419,United Kingdom,12,4226.57
14825,United Kingdom,12,2226.91
15298,United Kingdom,12,4799.9
18073,United Kingdom,12,3877.52
12395,Belgium,12,3018.63
13983,United Kingdom,12,2603.43
14110,United Kingdom,12,5683.15
15502,United Kingdom,12,10384.93
15854,United Kingdom,12,2974.65
17809,United Kingdom,12,5411.91
13094,United Kingdom,12,1927.32
12877,United Kingdom,12,1535.77
17954,United Kingdom,12,2332.72
14800,United Kingdom,12,4339.74
13552,United Kingdom,12,3740.07
14866,United Kingdom,12,14389.9
17659,United Kingdom,12,2999.46
12647,Germany,12,3722.82
14733,United Kingdom,12,9585.91
17652,United Kingdom,12,4867.72
17870,United Kingdom,12,1894.35
16553,United Kingdom,12,5719.82
14944,United Kingdom,12,5900.25
13571,United Kingdom,12,2092.32
13742,United Kingdom,12,3131.02
18144,United Kingdom,12,2888.75
12731,France,12,18895.91
18225,United Kingdom,12,5509.12
16186,United Kingdom,12,4006.94
13999,United Kingdom,12,3901.81
15570,United Kingdom,12,4165.52
14062,United Kingdom,12,10464.85
13148,United Kingdom,12,3707.12
16678,United Kingdom,12,3109.99
14040,United Kingdom,12,3614.92
15301,United Kingdom,12,5070.35
17858,United Kingdom,12,5155.66
15482,United Kingdom,12,11054.96
14099,United Kingdom,11,3104.17
15218,United Kingdom,11,5756.89
15058,United Kingdom,11,2124.99
14776,United Kingdom,11,2538.3
15529,United Kingdom,11,3995.23
14810,United Kingdom,11,2087.88
12500,Germany,11,4257.82
14502,United Kingdom,11,2470.67
13081,United Kingdom,11,28337.38
18092,United Kingdom,11,9068.26
17001,United Kingdom,11,3989.57
14713,United Kingdom,11,2666.36
17061,United Kingdom,11,5232.23
14291,United Kingdom,11,3883.25
12955,United Kingdom,11,4757.16
16775,United Kingdom,11,1695.66
14159,United Kingdom,11,4693.01
16767,United Kingdom,11,5580.6
15514,United Kingdom,11,4139.46
16145,United Kingdom,11,3799.49
16670,United Kingdom,11,4095.9
16919,United Kingdom,11,2596.45
13629,United Kingdom,11,7792.36
15129,United Kingdom,11,3447.4
14755,United Kingdom,11,5010.28
12662,Germany,11,3849.78
17644,United Kingdom,11,2895.64
14462,United Kingdom,11,2004.02
16712,United Kingdom,11,3645.43
13268,United Kingdom,11,3214.69
14952,United Kingdom,11,8099.49
18077,United Kingdom,11,2633.01
16818,United Kingdom,11,3349.57
18226,United Kingdom,11,5228.05
13784,United Kingdom,11,2462.79
14032,United Kingdom,11,2975.59
12747,United Kingdom,11,4196.01
12476,Germany,11,6816.42
13631,United Kingdom,11,3070.42
14239,United Kingdom,11,2380.85
14711,United Kingdom,11,2868.8
17725,United Kingdom,11,3439.08
13178,United Kingdom,11,5725.47
16912,United Kingdom,11,2575.38
15023,United Kingdom,11,6802.76
12523,France,11,1789.77
16837,United Kingdom,11,3170.98
17364,United Kingdom,11,4481.18
17340,United Kingdom,11,12353.29
17716,United Kingdom,11,5655.99
15251,United Kingdom,11,10484.99
14132,United Kingdom,11,3586.03
